date,category_id,revenue_market,revenue_retail
2024-01-01,Ноутбуки,300000000,50000000
2024-01-01,Холодильники,180000000,32000000
2024-01-01,Телевізори,220000000,41000000
2024-01-01,Смартфони,410000000,78000000
2024-01-01,Пральні машини,150000000,27000000
2024-02-01,Ноутбуки,285000000,48000000
2024-02-01,Холодильники,175000000,31000000
2024-02-01,Телевізори,210000000,39000000
2024-02-01,Смартфони,395000000,74000000
2024-02-01,Пральні машини,145000000,26000000
2024-03-01,Ноутбуки,310000000,53000000
2024-03-01,Холодильники,190000000,34000000
2024-03-01,Телевізори,230000000,43000000
2024-03-01,Смартфони,430000000,82000000
2024-03-01,Пральні машини,160000000,29000000
2024-04-01,Ноутбуки,295000000,51000000
2024-04-01,Холодильники,200000000,36000000
2024-04-01,Телевізори,215000000,40000000
2024-04-01,Смартфони,420000000,80000000
2024-04-01,Пральні машини,170000000,31000000
2024-05-01,Ноутбуки,305000000,52000000
2024-05-01,Холодильники,210000000,38000000
2024-05-01,Телевізори,225000000,42000000
2024-05-01,Смартфони,440000000,84000000
2024-05-01,Пральні машини,175000000,32000000
2024-06-01,Ноутбуки,320000000,55000000
2024-06-01,Холодильники,215000000,39000000
2024-06-01,Телевізори,240000000,45000000
2024-06-01,Смартфони,460000000,88000000
2024-06-01,Пральні машини,180000000,33000000
2024-07-01,Ноутбуки,330000000,57000000
2024-07-01,Холодильники,225000000,41000000
2024-07-01,Телевізори,250000000,47000000
2024-07-01,Смартфони,475000000,91000000
2024-07-01,Пральні машини,185000000,34000000
2024-08-01,Ноутбуки,340000000,59000000
2024-08-01,Холодильники,220000000,40000000
2024-08-01,Телевізори,245000000,46000000
2024-08-01,Смартфони,480000000,92000000
2024-08-01,Пральні машини,182000000,33000000
2024-09-01,Ноутбуки,355000000,61000000
2024-09-01,Холодильники,210000000,38000000
2024-09-01,Телевізори,255000000,48000000
2024-09-01,Смартфони,490000000,94000000
2024-09-01,Пральні машини,178000000,32000000
2024-10-01,Ноутбуки,370000000,64000000
2024-10-01,Холодильники,205000000,37000000
2024-10-01,Телевізори,270000000,51000000
2024-10-01,Смартфони,510000000,98000000
2024-10-01,Пральні машини,175000000,32000000
2024-11-01,Ноутбуки,390000000,68000000
2024-11-01,Холодильники,200000000,36000000
2024-11-01,Телевізори,290000000,55000000
2024-11-01,Смартфони,540000000,104000000
2024-11-01,Пральні машини,172000000,31000000
2024-12-01,Ноутбуки,420000000,73000000
2024-12-01,Холодильники,215000000,39000000
2024-12-01,Телевізори,320000000,61000000
2024-12-01,Смартфони,580000000,112000000
2024-12-01,Пральні машини,180000000,33000000
